status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
123573591023105_765770886803369,,Regional parties along with Cong can form non-BJP Govt.: Shafi,link,http://www.risingkashmir.com/regional-parties-along-with-cong-can-form-non-bjp-govt-shafi/,12/28/2014 13:42,65,5,1
123573591023105_765770856803372,,Wild Life deptt leaves 3 bears to the mercy of a mob in Kulgam,link,http://www.risingkashmir.com/wild-life-deptt-leaves-3-bears-to-the-mercy-of-a-mob-in-kulgam/,12/28/2014 13:42,44,3,3
123573591023105_765770376803420,,Not retiring from politics: Taj-Mohi-ud-din,link,http://www.risingkashmir.com/not-retiring-from-politics-taj-mohi-ud-din/,12/28/2014 13:40,18,5,0
123573591023105_765770390136752,,Not retiring from politics: Taj-Mohi-ud-din,link,http://www.risingkashmir.com/not-retiring-from-politics-taj-mohi-ud-din/,12/28/2014 13:40,16,1,0
123573591023105_765770373470087,,Not retiring from politics: Taj-Mohi-ud-din,link,http://www.risingkashmir.com/not-retiring-from-politics-taj-mohi-ud-din/,12/28/2014 13:40,7,0,0
123573591023105_765770386803419,,Not retiring from politics: Taj-Mohi-ud-din,link,http://www.risingkashmir.com/not-retiring-from-politics-taj-mohi-ud-din/,12/28/2014 13:40,11,0,0
123573591023105_765770360136755,,Not retiring from politics: Taj-Mohi-ud-din,link,http://www.risingkashmir.com/not-retiring-from-politics-taj-mohi-ud-din/,12/28/2014 13:40,1,0,0
123573591023105_765770003470124,,1500 anganwadi centers to be converted to creches,link,http://www.risingkashmir.com/1500-anganwadi-centers-to-be-converted-to-creches/,12/28/2014 13:39,60,5,3
123573591023105_765769876803470,,"KPs return to homeland, Art 370 issues will be addressed: Min",link,http://www.risingkashmir.com/kps-return-to-homeland-art-370-issues-will-be-addressed-min/,12/28/2014 13:38,33,0,2
123573591023105_765768540136937,,Gun-toting controversy: Kashmir Police suspend MLA’s security men,link,http://www.risingkashmir.com/gun-toting-controversy-kashmir-police-suspend-mlas-security-men/,12/28/2014 13:34,86,10,5
123573591023105_765768330136958,,Medicos flay colleague’s thrashing,link,http://www.risingkashmir.com/medicos-flay-colleagues-thrashing/,12/28/2014 13:33,24,0,1
123573591023105_765768163470308,,"Jamiat-e-Ahlehadith urges parties to shun ‘petty politics’, work for Kashmir resolution",link,http://www.risingkashmir.com/jamiat-e-ahlehadith-urges-parties-to-shun-petty-politics-work-for-kashmir-resolution/,12/28/2014 13:33,29,2,1
123573591023105_765767790137012,,Faktoo pitches for unity among separatist camp,link,http://www.risingkashmir.com/faktoo-pitches-for-unity-among-separatist-camp/,12/28/2014 13:31,41,0,1
123573591023105_765767496803708,,Hurriyat (G) to organise seminar on Kashmir issue,link,http://www.risingkashmir.com/hurriyat-g-to-organise-seminar-on-kashmir-issue/,12/28/2014 13:30,76,4,5
123573591023105_765767370137054,,Mufti: Man of the Moment,link,http://www.risingkashmir.com/mufti-man-of-the-moment/,12/28/2014 13:30,178,18,9
123573591023105_765767280137063,,Don’t keep rehab process hostage to govt formation: Trade bodies,link,http://www.risingkashmir.com/dont-keep-rehab-process-hostage-to-govt-formation-trade-bodies/,12/28/2014 13:29,52,1,0
123573591023105_765766276803830,,PDP steps up intra-party discussions,link,http://www.risingkashmir.com/pdp-steps-up-intra-party-discussions/,12/28/2014 13:27,63,0,0
123573591023105_765765586803899,,JK law does not allow defections,link,http://www.risingkashmir.com/jk-law-does-not-allow-defections/,12/28/2014 13:26,42,0,0
123573591023105_765765350137256,,"Don’t want re-elections, Governor’s rule: BJP",link,http://www.risingkashmir.com/dont-want-re-elections-governors-rule-bjp/,12/28/2014 13:25,37,1,0
123573591023105_765765336803924,,"Don’t want re-elections, Governor’s rule: BJP",link,http://www.risingkashmir.com/dont-want-re-elections-governors-rule-bjp/,12/28/2014 13:25,28,1,0
123573591023105_765765340137257,,"Don’t want re-elections, Governor’s rule: BJP",link,http://www.risingkashmir.com/dont-want-re-elections-governors-rule-bjp/,12/28/2014 13:25,21,0,0
123573591023105_765764960137295,,JK’s closely contested assembly segments,link,http://www.risingkashmir.com/jks-closely-contested-assembly-segments/,12/28/2014 13:23,35,0,0
123573591023105_765764863470638,,KEA for PDP-NC-Cong grand alliance,link,http://www.risingkashmir.com/kea-for-pdp-nc-cong-grand-alliance/,12/28/2014 13:23,25,0,1
123573591023105_765764613470663,,Valley reels under cold wave,link,http://www.risingkashmir.com/valley-reels-under-cold-wave/,12/28/2014 13:23,96,2,1
123573591023105_765763923470732,,Only Soz can issue party statements: Cong,link,http://www.risingkashmir.com/only-soz-can-issue-party-statements-cong/,12/28/2014 13:21,64,0,0
