,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
56,56,704168.8470949074,-28.175,-176.314,30.0,6.8,mw,,,,,iscgem,iscgem909012,735731.7865972222,Kermadec Islands region,earthquake
57,57,704165.2121527778,-9.054,157.873,15.0,6.7,mw,,,,,iscgemsup,iscgemsup909005,735792.7099768518,Solomon Islands,earthquake
58,58,704163.3848032408,-4.191,133.836,15.0,7.0,mw,,,,,iscgem,iscgem908999,735731.7865972222,"near the south coast of Papua, Indonesia",earthquake
59,59,704158.1808449074,-35.685,-72.812,30.0,7.0,mw,,,,,iscgem,iscgem908989,735731.7865972222,"offshore Maule, Chile",earthquake
60,60,704157.1710300926,-35.155,-72.105,35.0,7.7,mw,,,,,iscgem,iscgem908986,735731.7865972222,"Maule, Chile",earthquake
61,61,704155.7501157407,-29.699,-175.849,15.0,6.4,mw,,,,,iscgem,iscgem908984,735731.7865972222,Kermadec Islands region,earthquake
62,62,704154.4466666667,-8.653,120.724,20.0,6.9,mw,,,,,iscgem,iscgem908980,735731.7865972222,"Flores region, Indonesia",earthquake
63,63,704148.3549537037,-56.526,-4.099,10.0,6.9,mw,,,,,iscgemsup,iscgemsup908973,735792.7099768518,southern Mid-Atlantic Ridge,earthquake
64,64,704146.8577777778,-23.152,-69.997,45.0,6.8,mw,,,,,iscgem,iscgem908971,735731.7865972222,"Antofagasta, Chile",earthquake
65,65,704137.9451273148,-33.818,57.854,10.0,6.4,mw,,,,,iscgem,iscgem908961,735731.7865972222,Southwest Indian Ridge,earthquake
66,66,704132.1702083333,-20.488,169.17,55.0,6.7,mw,,,,,iscgem,iscgem908955,735731.7865972222,Vanuatu,earthquake
67,67,704127.175625,27.091,-105.779,10.0,6.4,mw,,,,,iscgem,iscgem908949,735731.7865972222,"Chihuahua, Mexico",earthquake
68,68,704120.522962963,11.586,-87.054,30.0,6.5,mw,,,,,iscgem,iscgem908944,735731.7865972222,near the coast of Nicaragua,earthquake
69,69,704112.6386111111,-53.685,-56.101,10.0,6.7,mw,,,,,iscgem,iscgem908933,735731.7865972222,Falkland Islands region,earthquake
70,70,704110.5970717593,28.517,67.209,35.0,6.8,mw,,,,,iscgem,iscgem908931,735731.7865972222,Pakistan,earthquake
71,71,704104.1258449074,16.19,-97.502,25.0,7.5,mw,,,,,iscgem,iscgem908920,735731.7865972222,"Oaxaca, Mexico",earthquake
72,72,704087.3135532407,-12.692,165.823,15.0,6.8,mw,,,,,iscgem,iscgem908904,735731.7865972222,Santa Cruz Islands,earthquake
73,73,704078.1433680556,2.035,126.102,35.0,6.5,mw,,,,,iscgem,iscgem908888,735731.7865972222,Molucca Sea,earthquake
74,74,704072.1174421296,-5.541,147.952,15.0,6.2,mw,,,,,iscgem,iscgem908883,735731.7865972222,"eastern New Guinea region, Papua New Guinea",earthquake
75,75,704066.2562847222,29.014,70.583,35.0,6.5,mw,,,,,iscgem,iscgem908875,735731.7865972222,Pakistan,earthquake
76,76,704046.339363426,1.917,126.949,15.0,6.3,mw,,,,,iscgem,iscgem908827,735731.7865972222,Molucca Sea,earthquake
77,77,704038.7682754629,16.004,-98.209,20.0,7.2,mw,,,,,iscgem,iscgem908823,735731.7865972222,"offshore Oaxaca, Mexico",earthquake
78,78,704012.8913541667,-9.882,160.316,15.0,6.5,mw,,,,,iscgem,iscgem908780,735731.7865972222,Solomon Islands,earthquake
79,79,704002.9511921296,-15.651,170.959,15.0,7.1,mw,,,,,iscgem,iscgem908762,735731.7865972222,Vanuatu region,earthquake
80,80,703994.685636574,60.559,-147.039,15.0,6.8,mw,,,,,iscgem,iscgem908754,735731.7865972222,Southern Alaska,earthquake
81,81,703994.4446643519,-17.376,-179.361,15.0,6.7,mw,,,,,iscgem,iscgem908753,735731.7865972222,Fiji region,earthquake
82,82,703990.138587963,16.182,-96.585,20.0,7.9,mw,,,,,iscgem,iscgem908744,735731.7865972222,"Oaxaca, Mexico",earthquake
83,83,703988.7197337963,12.833,120.993,15.0,6.7,mw,,,,,iscgem,iscgem908742,735731.7865972222,"Mindoro, Philippines",earthquake
84,84,703988.2588078703,12.809,121.159,25.0,6.9,mw,,,,,iscgem,iscgem908741,735731.7865972222,"Mindoro, Philippines",earthquake
85,85,703976.3548958333,31.639,128.908,10.0,6.3,mw,,,,,iscgemsup,iscgemsup908723,735792.7099768518,"northwest of the Ryukyu Islands, Japan",earthquake
86,86,703974.5502430556,39.492,143.422,20.0,6.3,mw,,,,,iscgem,iscgem908714,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
87,87,703973.9750578704,-41.698,79.87,10.0,6.5,mw,,,,,iscgem,iscgem908710,735731.7865972222,Mid-Indian Ridge,earthquake
88,88,703969.4100578703,39.916,142.819,35.0,7.2,mw,,,,,iscgem,iscgem908698,735731.7865972222,"near the east coast of Honshu, Japan",earthquake
89,89,703943.7880208333,67.213,-171.822,15.0,6.3,mw,,,,,iscgem,iscgem908657,735731.7865972222,"near the north coast of Chukotskiy Avtonomnyy Okrug, Russia",earthquake
90,90,703939.8576388889,-13.631,-70.354,25.0,6.5,mw,,,,,iscgem,iscgem908650,735731.7865972222,central Peru,earthquake
91,91,703930.8075925926,42.356,25.109,15.0,7.1,mw,,,,,iscgem,iscgem908608,735731.7865972222,Bulgaria,earthquake
92,92,703929.1426388889,17.716,-95.386,35.0,6.5,mw,,,,,iscgem,iscgem908604,735731.7865972222,"Veracruz, Mexico",earthquake
93,93,703926.375,42.329,25.717,10.0,7.1,mw,,,,,iscgem,iscgem908596,735731.7865972222,Bulgaria,earthquake
94,94,703921.7321412037,-13.613,-70.372,25.0,6.7,mw,,,,,iscgem,iscgem908588,735731.7865972222,central Peru,earthquake
95,95,703915.696412037,-11.161,-14.861,10.0,6.4,mw,,,,,iscgem,iscgem908583,735731.7865972222,Ascension Island region,earthquake
96,96,703912.0207175926,38.202,27.494,10.0,6.4,mw,,,,,iscgem,iscgem908579,735731.7865972222,western Turkey,earthquake
